4;Bande dessine adulte;428;Une jeunesse au Moyen-Orient, 1978-1984;Sattouf, Riad
8;Livre adulte;298;Meursault, contre-enqute [Texte imprim];Daoud, Kamel
11;Nouveaut;248;L'amour et les forts [texte imprim] : roman;Reinhardt, ric
16;Nouveaut musique;196;Chaleur humaine [enregistrement sonore];Christine and the Queens
20;DVD tous publics;186;Hippocrate [Images animes];
33;DVD nouveauts tous publics;147;Interstellar [Images animes];
40;DVD nouveauts tous publics;139;La famille Blier [Images animes];
42;DVD tous publics;138;Gemma Bovery [Images animes];
48;Livre adulte;132;Juste une mauvaise action [Texte imprim];George, Elizabeth
49;;131;Mditer, jour aprs jour : 25 leons pour vivre en pleine conscience;Andr, Christophe
60;Nouveaut;118;Constellation [Texte imprim];Bosc, Adrien
73;DVD tous publics;111;Deux jours, une nuit [Images animes];
86;Bande dessine adulte;105;Guerre totale;Kirkman, Robert
90;DVD tous publics;101;3 coeurs [Images animes];
96;Livre jeunesse;97;Trop c'est trop;Kinney, Jeff
102;DVD tous publics;94;9 mois ferme [Images animes];
105;Livre jeunesse;91;Journal d'un dgonfl. 1. Carnet de bord de Greg Heffley;Kinney, Jeff
106;DVD jeunesse;91;Le vent se lve [Images animes];
112;Livre adulte;89;Londres [Texte imprim];Gloaguen, Philippe
116;Livre adulte;88;Houellebecq conomiste [Texte imprim];Maris, Bernard
119;Livre adulte;86;Sicile [Texte imprim] : 2015;Gloaguen, Philippe
128;;83;Manderley for ever [Texte imprim];Rosnay, Tatiana de
154;Bande dessine adulte;78;Magasin gnral. 9. Notre-Dame-des-Lacs;Loisel, Rgis
155;Bande dessine jeunesse;78;L'exode de Kalandre [Texte imprim];Sobral, Patrick
157;Livre ado;77;Hunger games [Texte imprim];Collins, Suzanne
158;DVD tous publics;77;Tel pre, tel fils [Images animes];
160;DVD tous publics;77;Maestro [Images animes];
161;Nouveaut;76;Hlose, ouille ! [Texte imprim];Teul, Jean
167;;75;Cinquante nuances plus claires : roman;James, E.L.
172;Bande dessine ado;74;J'irai o tu iras [Texte imprim];Lyfoung, Patricia
175;DVD tous publics;73;L'homme qu'on aimait trop [Images animes];
188;Livre jeunesse;69;Le feuilleton d'Herms [Texte imprim] : la mythologie grecque en cent pisodes;Szac, Murielle
191;DVD tous publics;69;Game of Thrones [Images animes] : saison 3;
193;;68;A Most Violent Year [Images animes];
199;Bande dessine jeunesse;67;L'Alystory [Texte imprim];Sobral, Patrick
200;DVD tous publics;67;Laurence Anyways [Images animes];
205;Bande dessine jeunesse;66;Versus inferno;Sobral, Patrick
207;Livre jeunesse;66;La maison d'Hads [Texte imprim];Riordan, Rick
210;Bande dessine adulte;65;Un ocan d'amour [Texte imprim];Lupano
214;Nouveaut;64;Bridget Jones [Texte imprim] : folle de lui : roman;Fielding, Helen
224;Livre adulte;62;Ce qui reste de nos vies [Texte imprim];Shalev, Zeruya
227;Bande dessine adulte;61;Grasse carcasse;Larcenet, Manu
241;DVD tous publics;60;Game of Thrones [Images animes] : saison 2;
243;Livre adulte;60;Italie du Nord [Texte imprim] : 2014;Gloaguen, Philippe
248;DVD tous publics;60;Edge of Tomorrow [Images animes];
252;Livre adulte;59;Dora Bruder [Texte imprim];Modiano, Patrick
262;DVD tous publics;59;Le sel de la terre [Images animes] : un voyage avec Sebastio Salgado;
265;;58;Le livre d'Hector [Texte imprim];Chamblain, Joris
279;DVD tous publics;57;Wrong Cops [Images animes];
280;Livre adulte;57;Italie du Sud [texte imprim];
285;Livre adulte;56;On ne voyait que le bonheur [Texte imprim];Delacourt, Grgoire
305;Nouveaut musique;53;Shake shook shaken [Enregistrement sonore];
308;Nouveaut;52;Le sicle;Follett, Ken
311;Bande dessine jeunesse;52;Tout a finira mal;Tan
320;DVD tous publics;51;Apprenti gigolo [Images animes];
321;Nouveaut;50;Check point : roman;Rufin, Jean-Christophe
327;Livre jeunesse;50;Mortelle Adle. 2. L'enfer c'est les autres;Tan
328;DVD tous publics;50;Sous les jupes des filles [Images animes];
337;DVD tous publics;49;L'enlvement de Michel Houellebecq [Images animes];
340;Bande dessine jeunesse;48;Chi, une vie de chat. 1;Konami, K.
